"PCBWay Bom Quotation, Product No.:T-1N24W341931A",,,,,,,,,,,,,
Item #,*Designator,*Qty,*Mfg Part #,Description / Value,*Package/Footprint,Your Instructions / Notes,*Unit Price(5 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,*PCBWay Note,Customer Reply,PCBWay Update
1,"C1,C2, C5-C14",12,C0805C106J8RAC,10uF Ceramic,0805,X7R or better. 5% or smaller. 10 VDC or higher rating.,$0.980,$58.800,,,,,
2,C3,1,C0805C104K3RACTU,0.1uF Ceramic,0805,X7R or better. 5% or smaller. 10 VDC or higher rating.,$0.284,$1.420,,,,,
3,C4,1,C0805C105J4RACTU,1uF Ceramic,0805,X7R or better. 5% or smaller. 10 VDC or higher rating.,$0.550,$2.750,7-10 Workdays,,,,
4,"D1,D5,D6",3,,LED - RED,0805,Any SMD LED in an 0805 package.,$0.046,$0.690,,NCD0805R1,,,
5,"D2,D7",2,,LED - GREEN,0805,Any SMD LED in an 0805 package.,$0.053,$0.530,,NCD0805G1,,,
6,D3,1,,LED - BLUE,0805,Any SMD LED in an 0805 package.,$0.112,$0.560,,NCD0805B2,,,
7,D4,1,,LED - YELLOW,0805,Any SMD LED in an 0805 package.,$0.085,$0.425,,NCD0805Y1,,,
8,"J10, J12",2,,1x2 pin male 0.1in,-,,$0.158,$1.580,7-10 Workdays,61300211121,,,
9,J46,1,,1x6 pin male 0.1in,-,,$0.520,$2.600,7-10 Workdays,61300611121,,,
10,REF07,1,M22-7140342,2x3 pin female 2mm,-,,$1.248,$6.240,,,,,
11,J2,1,Cetus J1B1211CCD,Ethernet Jack,-,,$1.711,$8.555,,J1B1211CCD,,,
12,"J4-J9,J16-J45",36,,1x8 pin male 0.1in,-,Header for connection to external sensors.,$0.068,$12.240,,B-2100S08P-A110,Straight male pin header，1*8pin 2.54mm，please confirm.,,
13,REF04,1,,1x6 pin female 0.1in,-,,$0.826,$4.130,7-10 Workdays,PPTC061LFBN-RC,,,
14,"REF05, J48",2,,1x3 pin female 0.1in,-,Header. Right. Next to R14 and J11.,$0.479,$4.790,7-10 Workdays,PPPC031LFBN-RC,,,
15,REF03,1,,1x13 pin female 0.1in,-,Header. Bottom. Next to D7 and R13.,$1.132,$5.660,7-10 Workdays,PPTC131LFBN-RC,,,
16,REF06,1,,1x2 pin female 0.1in,-,Header. Left. Solder to 3.3v and 5v. Do not solder a connection to gnd location.,$0.517,$2.585,7-10 Workdays,PPTC021LFBN-RC,,,
17,R1,1,ERA-6VEB1200V,120 ohms,0805,0.25W. 0.2% tolerance or better.,$0.347,$1.735,,,,,
18,"R2-R6,R15-R16",7,ERA-6AED752V,7500 ohms,0805,For LED. Can use smaller/larger value for brighter/dimmer LED.,$0.162,$5.670,,,,,
19,"R7,R8",2,ERA-6AED470V,47 ohms,0805,0.125W. 5% tolerance or better. For IRIG signal.,$0.189,$1.890,,,,,
20,F1,1,zero ohm resistor,Fuse,1210,,$0.118,$0.590,7-10 Workdays,RMCF1210ZT0R00,,,
,F2,1,,Fuse,1210,,$1.300,$6.830,7-10 Workdays,MFU1206FF00500P500,,,
21,"SW1,SW2",2,DS04-254-1-02BK-SMT,2 position switch,-,,$0.973,$9.730,7-10 Workdays,,,,
22,U1-U6,6,CD74HC4067,16:1 multiplexer,SOIC-24,Equivalent is ok.,$0.831,$24.930,,CD74HC4067M96,,,
23,"REF01, REF02",2,,1x24 pin female 0.1in,-,,$0.582,$5.820,,X6511FV-24-C85D32,Straight female pin stocket，1*24pin 2.54mm，please confirm.,,
24,U8,1,TCAN330G,CAN Bus driver,SOIC-8,Install if need CAN Bus for board to board communication.,$2.013,$10.065,,TCAN330GDR,,,
25,"U11,U15-19",6,TLV75533PDBVR,LDO voltage regulator,SOT-23,5V-in. 3.3V-out. 500mA drive current. With overcurrent protection.,$0.311,$9.330,,,,,
26,H1-H5,5,-,Mounting hole 2.2mm,-,Nothing to install. just noting the mounting hole diameter for bolt selection.,,,,,[DNP不要贴];,,
27,U13,1,,midi right-angle connector,,,$1.679,$8.395,7-10 Workdays,KCDX-5S-N,,,
28,R9-R11,3,,100 kohms,0805,0.125W. 5% tolerance or better.,$0.015,$0.225,,RC0805JR-07100KL,,,
29,R12-R14,3,,0 ohms,0805,Any zero ohm resistor is ok.,$0.016,$0.240,,RC0805JR-070RL,,,
30,J1,1,,power jack,-,Equivalent is ok.,$0.807,$4.035,7-10 Workdays,KLDX-0202-AC,,,
31,J13-J15,3,,pedal jacks,,Okay to not populate if this is a part you cannot procure,,,,,[DNP不要贴];,,
32,"R22, R26, R29",3,,10 ohms,0805,0.125W. 20% tolerance or better.,$0.044,$0.660,,RC0805JR-0710RL,,,
33,"R23, R25, R28",3,,4700 ohms,0805,0.125W. 5% tolerance or better.,$0.017,$0.255,,RC0805JR-074K7L,,,
34,J47,1,,1x7 pin female 0.1in,-,Equivalent is ok.,$0.788,$3.940,7-10 Workdays,PPTC071LFBN-RC,,,
35,"J11, J3",2,,1x4 pin male 0.1in,-,Equivalent is ok.,$0.227,$2.270,7-10 Workdays,61300411121,,,
,,,,,,,Component Cost,$210.17,,,,,
,,,,,,,Assembly Cost,$88.00,,,,,
,,,,,,,PCB Cost,$48.82,,,,,
,,,,,,,V2 Member 2% off,-$2.74,,,,,
,,,,,,,All Total 5 Sets,$344.25,,,,,
